8,51.489794,5.50473
9,51.504822,5.496548
43,51.511186,5.493475
40,51.521049,5.502811
51,51.530119,5.489888
52,51.54212,5.50178
23,51.555115,5.525308
68,51.54065,5.567451
71,51.517727,5.594812
63,51.51357,5.606901
93,51.515099,5.623788
59,51.509674,5.637694
44,51.512587,5.651264
7,51.504051,5.652927
5,51.496261,5.652529
6,51.494295,5.640171
3,51.474951,5.632843
61,51.490679,5.610991
62,51.483892,5.604456
47,51.467134,5.608515
82,51.454487,5.594117
83,51.448141,5.603509
36,51.445603,5.577208
77,51.431613,5.541073
75,51.445758,5.536803
99,51.450448,5.527617
35,51.460378,5.529921
81,51.467913,5.520593
80,51.470928,5.514684
98,51.468183,5.506216
